@RELATION wiki_binned
@ATTRIBUTE num_categories   Numeric
@ATTRIBUTE num_words    Numeric
@ATTRIBUTE num_images   Numeric
@ATTRIBUTE num_links_in Numeric
@ATTRIBUTE num_links_out    Numeric
@ATTRIBUTE num_references   Numeric
@ATTRIBUTE num_revisions    Numeric
@ATTRIBUTE article_age_in_days  Numeric
@ATTRIBUTE avg_revs_per_day Numeric
@ATTRIBUTE num_positive_words   Numeric
@ATTRIBUTE num_negative_words   Numeric
@ATTRIBUTE num_controversial_words  Numeric
@ATTRIBUTE com_percentage   Numeric
@ATTRIBUTE org_percentage Numeric
@ATTRIBUTE gov_percentage   Numeric
@ATTRIBUTE net_percentage Numeric
@ATTRIBUTE edu_percentage   Numeric
@ATTRIBUTE other_percentage     Numeric
@ATTRIBUTE isControversial  {yes,no}

@DATA
33,85160,29,352,407,403,12793,1461,8.756331279945243,0.0014325974635979333,0.0011272898074213245,1.1742602160638798e-05,0.5831265508684863, 0.04218362282878412, 0.007444168734491315, 0.01488833746898263, 0, 0.3523573200992556,no
45,82840,21,303,360,331,3916,2889,1.3554863274489444,0.0016658619024625784,0.0014365041042974408,3.62143891839691e-05,0.29607250755287007, 0.00906344410876133, 0.006042296072507553, 0.00906344410876133, 0.0030211480362537764, 0.676737160120846,no
9,85981,24,9,331,85,66,1205,0.054771784232365145,0.0016980495690908457,0.000604784778032356,0.0,0.2, 0.25882352941176473, 0.09411764705882353, 0.023529411764705882, 0.3411764705882353, 0.08235294117647059,no
15,80885,6,91,144,139,243,2507,0.09692859992022337,0.0027446374482289673,0.0010137850033998888,0.0008654262224145391,0.5683453237410072, 0.2517985611510791, 0.02877697841726619, 0.007194244604316547, 0.05755395683453238, 0.08633093525179857,no
34,83396,11,1248,526,147,8161,6145,1.3280716029292108,0.002709962108494412,0.0008633507602283083,1.1990982780948726e-05,0.8775510204081632, 0.034013605442176874, 0.006802721088435374, 0.013605442176870748, 0, 0.06802721088435375,no
5,86325,3,641,2158,1,4057,5230,0.775717017208413,2.3168259484506228e-05,3.475238922675934e-05,0.0,0, 0, 0, 1, 0, 0,no
3,80371,2,27,123,213,122,3019,0.04041073203047367,0.0021774022968483655,0.0005723457466001419,3.7326896517400554e-05,0.39906103286384975, 0.1267605633802817, 0.17370892018779344, 0.046948356807511735, 0.03286384976525822, 0.22065727699530516,no
39,82979,19,689,671,57,3392,5627,0.6028078905278124,0.0027597343906289543,0.0010243555598404416,3.615372564142735e-05,0.49122807017543857, 0.2807017543859649, 0.08771929824561403, 0.017543859649122806, 0.017543859649122806, 0.10526315789473684,no
25,84752,13,960,1448,166,2940,5927,0.4960350936392779,0.0034335472909193883,0.0015102888427411742,0.0,0.3253012048192771, 0.45180722891566266, 0, 0.012048192771084338, 0.12650602409638553, 0.08433734939759036,no
18,71153,7,32,294,8,236,4199,0.0562038580614432,0.001869211417649291,0.000969741261787978,0.0,0.875, 0.125, 0, 0, 0, 0,no
9,68894,2,410,661,190,1605,859,1.8684516880093132,0.0009725084913054838,0.0002612709379626673,0.0,0.9789473684210527, 0, 0, 0.015789473684210527, 0, 0.005263157894736842,no
17,72193,34,1082,564,163,1394,5836,0.23886223440712817,0.0018699873948997826,0.0006925879240369565,2.770351696147826e-05,0.1901840490797546, 0.05521472392638037, 0, 0, 0.049079754601226995, 0.7055214723926381,no
5,66004,6,176,135,23,730,5559,0.1313185824788631,0.00092418641294467,0.0001515059693351918,0.0,0.17391304347826086, 0.5217391304347826, 0.08695652173913043, 0, 0.21739130434782608, 0,no
7,69681,12,8,317,3,181,3315,0.05460030165912519,0.002224422726424707,0.0007893112900216702,1.4351114364030367e-05,0.6666666666666666, 0, 0, 0, 0, 0.3333333333333333,no
33,72377,62,462,306,49,1200,5370,0.22346368715083798,0.0021553808530334223,0.00026251433466432705,0.0,0.20408163265306123, 0.2857142857142857, 0.02040816326530612, 0, 0.02040816326530612, 0.46938775510204084,no
7,67226,12,389,281,16,675,5653,0.1194056253316823,0.0013387677386725375,0.0002975039419272305,0.0,0.25, 0.3125, 0, 0, 0.1875, 0.25,no
34,67079,84,16828,823,403,9698,5971,1.6241835538435774,0.001818751024910926,0.000685758583163136,4.472338585846539e-05,0.44168734491315137, 0.17369727047146402, 0.03722084367245657, 0.04218362282878412, 0.01488833746898263, 0.2903225806451613,no
22,72856,28,306,579,71,3316,4878,0.6797867978679787,0.002100032941693203,0.0006039310420555617,0.0,0.5352112676056338, 0.23943661971830985, 0, 0.014084507042253521, 0.014084507042253521, 0.19718309859154928,no
7,67109,39,765,359,99,1338,5362,0.2495337560611712,0.0018775425054761655,0.00044703392987527753,1.4901130995842585e-05,0.5757575757575758, 0.16161616161616163, 0.09090909090909091, 0.09090909090909091, 0.04040404040404041, 0.04040404040404041,no
