pageid,num_categories,num_words,num_images,num_links_in,num_links_out,num_references,num_revisions
32197967,10,461,3,4,9,6,30
13163170,26,244,3,9,17,2,60
14281799,5,1483,2,188,94,27,13
13254650,6,1245,0,9,19,7,55
391081,15,8883,8,171,132,37,287
13397119,9,1863,5,17,30,5,86
34564974,12,1750,2,1,17,2,11
21318988,6,1526,1,9,12,3,27
36548514,7,95,3,142,150,1,13
2883114,34,11924,5,259,119,45,388
45018871,5,133,0,1,11,1,3
43075314,13,812,4,54,68,3,15
14695230,6,232,2,30,39,2,11
274851,26,48391,51,342,395,121,2013
26130891,12,1191,9,36,48,2,19
21300617,12,663,4,30,41,5,29
1618408,4,477,0,1,12,1,21
40235164,8,1099,1,8,13,14,27
774228,23,3350,13,479,477,12,139
329348,6,3216,12,158,80,12,151
19758271,5,8164,0,45,118,3,220
22655807,12,2898,5,15,11,6,50
14902005,7,1090,0,12,15,6,27
20101464,13,2597,2,5,16,2,44
20749510,14,224,5,6,7,1,21
49381870,4,159,0,3,12,2,4
